+------+----------+-----------------+---------+----------------+----+---------+---------+-------------+-------+----+------------+------------+-----------------+-----------------------------+----------+---------+---------------------------+
|dateID|date      |month_weekday_int|day_str  |week_weekday_int|week|month_int|month_str|month_firstOf|quarter|year|year_day_int|is_leap_year|date_str_abr     |date_str_full                |unix_ts   |isHoliday|holiday                    |
|89    |2021-03-30|30               |Tuesday  |3               |13  |3        |March    |2021-03-01   |1      |2021|89          |0           |Tue 30th Mar 2021|Tuesday 30th March 2021      |1617084000|0        |NULL                       |
|90    |2021-03-31|31               |Wednesday|4               |13  |3        |March    |2021-03-01   |1      |2021|90          |0           |Wed 31st Mar 2021|Wednesday 31st March 2021    |1617170400|0        |NULL                       |
|91    |2021-04-01|1                |Thursday |5               |13  |4        |April    |2021-04-01   |2      |2021|91          |0           |Thu 1st Apr 2021 |Thursday 1st April 2021      |1617256800|0        |NULL                       |
|92    |2021-04-02|2                |Friday   |6               |13  |4        |April    |2021-04-01   |2      |2021|92          |0           |Fri 2nd Apr 2021 |Friday 2nd April 2021        |1617343200|1        |Good Friday                |
|93    |2021-04-03|3                |Saturday |7               |13  |4        |April    |2021-04-01   |2      |2021|93          |0           |Sat 3rd Apr 2021 |Saturday 3rd April 2021      |1617429600|0        |NULL                       |
|94    |2021-04-04|4                |Sunday   |1               |14  |4        |April    |2021-04-01   |2      |2021|94          |0           |Sun 4th Apr 2021 |Sunday 4th April 2021        |1617516000|1        |Easter Sunday              |
|95    |2021-04-05|5                |Monday   |2               |14  |4        |April    |2021-04-01   |2      |2021|95          |0           |Mon 5th Apr 2021 |Monday 5th April 2021        |1617602400|0        |NULL                       |
|96    |2021-04-06|6                |Tuesday  |3               |14  |4        |April    |2021-04-01   |2      |2021|96          |0           |Tue 6th Apr 2021 |Tuesday 6th April 2021       |1617688800|0        |NULL                       |
|97    |2021-04-07|7                |Wednesday|4               |14  |4        |April    |2021-04-01   |2      |2021|97          |0           |Wed 7th Apr 2021 |Wednesday 7th April 2021     |1617775200|0        |NULL                       |
|98    |2021-04-08|8                |Thursday |5               |14  |4        |April    |2021-04-01   |2      |2021|98          |0           |Thu 8th Apr 2021 |Thursday 8th April 2021      |1617861600|0        |NULL                       |
